block	blockTrNum	totalTrNum	direction	coherence	colour	correctResponse
1	83	83	2	5	1	2
1	84	84	3	5	2	2
1	85	85	1	5	1	1
1	86	86	4	5	2	1
1	87	87	2	5	3	2
1	88	88	3	5	2	2
1	89	89	1	6	1	1
1	90	90	4	6	3	1
1	91	91	2	6	2	2
1	92	92	3	6	3	2
1	93	93	1	6	3	1
1	94	94	4	6	2	1
1	95	95	2	6	2	2
1	96	96	3	6	2	2
1	97	97	1	1	1	1
1	98	98	4	1	4	1
1	99	99	2	1	3	2
1	100	100	3	1	1	2
1	101	101	1	1	1	1
1	102	102	4	1	1	1
1	103	103	2	1	2	2
1	104	104	3	1	2	2
1	105	105	1	2	4	1
1	106	106	4	2	4	1
1	107	107	2	2	1	2
1	108	108	3	2	3	2
1	109	109	1	2	4	1
1	110	110	4	2	2	1
1	111	111	2	2	3	2
1	112	112	3	2	1	2
1	113	113	1	3	4	1
1	114	114	4	3	1	1
1	115	115	2	3	3	2
1	116	116	3	3	4	2
1	117	117	1	3	4	1
1	118	118	4	3	3	1
1	119	119	2	3	2	2
1	120	120	3	3	4	2
1	121	121	1	4	1	1
1	122	122	4	4	2	1
1	123	123	2	4	3	2
1	124	124	3	4	1	2
1	125	125	1	4	1	1
1	126	126	4	4	4	1
1	127	127	2	4	4	2
1	128	128	3	4	4	2
1	129	129	1	5	2	1
1	130	130	4	5	4	1
1	131	131	2	5	2	2
1	132	132	3	5	1	2
1	133	133	1	5	3	1
1	134	134	4	5	2	1
1	135	135	2	5	4	2
1	136	136	3	5	1	2
1	137	137	1	6	2	1
1	138	138	4	6	3	1
1	139	139	2	6	3	2
1	140	140	3	6	2	2
1	141	141	1	6	4	1
1	142	142	4	6	1	1
1	143	143	2	6	3	2
1	144	144	3	6	3	2
2	1	145	1	1	1	1
2	2	146	4	1	4	1
2	3	147	2	1	2	2
2	4	148	3	1	3	2
2	5	149	1	1	1	1
2	6	150	4	1	4	1
2	7	151	2	1	2	2
2	8	152	3	1	3	2
2	9	153	1	2	1	1
2	10	154	4	2	4	1
2	11	155	2	2	2	2
2	12	156	3	2	3	2
2	13	157	1	2	1	1
2	14	158	4	2	4	1
2	15	159	2	2	2	2
2	16	160	3	2	3	2
2	17	161	1	3	1	1
2	18	162	4	3	4	1
2	19	163	2	3	2	2
2	20	164	3	3	3	2
2	21	165	1	3	1	1
2	22	166	4	3	4	1
2	23	167	2	3	2	2
2	24	168	3	3	3	2
2	25	169	1	4	1	1
2	26	170	4	4	4	1
2	27	171	2	4	2	2
2	28	172	3	4	3	2
2	29	173	1	4	1	1
2	30	174	4	4	4	1
2	31	175	2	4	2	2
2	32	176	3	4	3	2
2	33	177	1	5	1	1
2	34	178	4	5	4	1
2	35	179	2	5	2	2
2	36	180	3	5	3	2
2	37	181	1	5	1	1
2	38	182	4	5	4	1
2	39	183	2	5	2	2
2	40	184	3	5	3	2
2	41	185	1	6	1	1
2	42	186	4	6	4	1
2	43	187	2	6	2	2
2	44	188	3	6	3	2
2	45	189	1	6	1	1
2	46	190	4	6	4	1
2	47	191	2	6	2	2
2	48	192	3	6	3	2
2	49	193	1	1	1	1
2	50	194	4	1	4	1
2	51	195	2	1	2	2
2	52	196	3	1	3	2
2	53	197	1	1	1	1
2	54	198	4	1	4	1
2	55	199	2	1	2	2
2	56	200	3	1	3	2
2	57	201	1	2	1	1
2	58	202	4	2	4	1
2	59	203	2	2	2	2
2	60	204	3	2	3	2
2	61	205	1	2	1	1
2	62	206	4	2	4	1
2	63	207	2	2	2	2
2	64	208	3	2	3	2
2	65	209	1	3	1	1
2	66	210	4	3	4	1
2	67	211	2	3	2	2
2	68	212	3	3	3	2
2	69	213	1	3	1	1
2	70	214	4	3	4	1
2	71	215	2	3	2	2
2	72	216	3	3	3	2
2	73	217	1	4	1	1
2	74	218	4	4	4	1
2	75	219	2	4	2	2
2	76	220	3	4	3	2
2	77	221	1	4	1	1
2	78	222	4	4	4	1
2	79	223	2	4	2	2
2	80	224	3	4	3	2
2	81	225	1	5	1	1
2	82	226	4	5	4	1
2	83	227	2	5	2	2
2	84	228	3	5	3	2
2	85	229	1	5	1	1
2	86	230	4	5	4	1
2	87	231	2	5	2	2
2	88	232	3	5	3	2
2	89	233	1	6	1	1
2	90	234	4	6	4	1
2	91	235	2	6	2	2
2	92	236	3	6	3	2
2	93	237	1	6	1	1
2	94	238	4	6	4	1
2	95	239	2	6	2	2
2	96	240	3	6	3	2
2	97	241	1	1	1	1
2	98	242	4	1	4	1
2	99	243	2	1	2	2
2	100	244	3	1	3	2
2	101	245	1	1	1	1
2	102	246	4	1	4	1
2	103	247	2	1	2	2
2	104	248	3	1	3	2
2	105	249	1	2	1	1
2	106	250	4	2	4	1
2	107	251	2	2	2	2
2	108	252	3	2	3	2
2	109	253	1	2	1	1
2	110	254	4	2	4	1
2	111	255	2	2	2	2
2	112	256	3	2	3	2
2	113	257	1	3	1	1
2	114	258	4	3	4	1
2	115	259	2	3	2	2
2	116	260	3	3	3	2
2	117	261	1	3	1	1
2	118	262	4	3	4	1
2	119	263	2	3	2	2
2	120	264	3	3	3	2
2	121	265	1	4	1	1
2	122	266	4	4	4	1
2	123	267	2	4	2	2
2	124	268	3	4	3	2
2	125	269	1	4	1	1
2	126	270	4	4	4	1
2	127	271	2	4	2	2
2	128	272	3	4	3	2
2	129	273	1	5	1	1
2	130	274	4	5	4	1
2	131	275	2	5	2	2
2	132	276	3	5	3	2
2	133	277	1	5	1	1
2	134	278	4	5	4	1
2	135	279	2	5	2	2
2	136	280	3	5	3	2
2	137	281	1	6	1	1
2	138	282	4	6	4	1
2	139	283	2	6	2	2
2	140	284	3	6	3	2
2	141	285	1	6	1	1
2	142	286	4	6	4	1
2	143	287	2	6	2	2
2	144	288	3	6	3	2
3	1	289	1	1	1	1
3	2	290	4	1	4	1
3	3	291	2	1	2	2
3	4	292	3	1	3	2
3	5	293	1	1	1	1
3	6	294	4	1	4	1
3	7	295	2	1	2	2
3	8	296	3	1	3	2
3	9	297	1	2	1	1
3	10	298	4	2	4	1
3	11	299	2	2	2	2
3	12	300	3	2	3	2
3	13	301	1	2	1	1
3	14	302	4	2	4	1
3	15	303	2	2	2	2
3	16	304	3	2	3	2
3	17	305	1	3	1	1
3	18	306	4	3	4	1
3	19	307	2	3	2	2
3	20	308	3	3	3	2
3	21	309	1	3	1	1
3	22	310	4	3	4	1
3	23	311	2	3	2	2
3	24	312	3	3	3	2
3	25	313	1	4	1	1
3	26	314	4	4	4	1
3	27	315	2	4	2	2
3	28	316	3	4	3	2
3	29	317	1	4	1	1
3	30	318	4	4	4	1
3	31	319	2	4	2	2
3	32	320	3	4	3	2
3	33	321	1	5	1	1
3	34	322	4	5	4	1
3	35	323	2	5	2	2
3	36	324	3	5	3	2
3	37	325	1	5	1	1
3	38	326	4	5	4	1
3	39	327	2	5	2	2
3	40	328	3	5	3	2
3	41	329	1	6	1	1
3	42	330	4	6	4	1
3	43	331	2	6	2	2
3	44	332	3	6	3	2
3	45	333	1	6	1	1
3	46	334	4	6	4	1
3	47	335	2	6	2	2
3	48	336	3	6	3	2
3	49	337	1	1	1	1
3	50	338	4	1	4	1
3	51	339	2	1	2	2
3	52	340	3	1	3	2
3	53	341	1	1	1	1
3	54	342	4	1	4	1
3	55	343	2	1	2	2
3	56	344	3	1	3	2
3	57	345	1	2	1	1
3	58	346	4	2	4	1
3	59	347	2	2	2	2
3	60	348	3	2	3	2
3	61	349	1	2	1	1
3	62	350	4	2	4	1
3	63	351	2	2	2	2
3	64	352	3	2	3	2
3	65	353	1	3	1	1
3	66	354	4	3	4	1
3	67	355	2	3	2	2
3	68	356	3	3	3	2
3	69	357	1	3	1	1
3	70	358	4	3	4	1
3	71	359	2	3	2	2
3	72	360	3	3	3	2
3	73	361	1	4	1	1
3	74	362	4	4	4	1
3	75	363	2	4	2	2
3	76	364	3	4	3	2
3	77	365	1	4	1	1
3	78	366	4	4	4	1
3	79	367	2	4	2	2
3	80	368	3	4	3	2
3	81	369	1	5	1	1
3	82	370	4	5	4	1
3	83	371	2	5	2	2
3	84	372	3	5	3	2
3	85	373	1	5	1	1
3	86	374	4	5	4	1
3	87	375	2	5	2	2
3	88	376	3	5	3	2
3	89	377	1	6	1	1
3	90	378	4	6	4	1
3	91	379	2	6	2	2
3	92	380	3	6	3	2
3	93	381	1	6	1	1
3	94	382	4	6	4	1
3	95	383	2	6	2	2
3	96	384	3	6	3	2
3	97	385	1	1	1	1
3	98	386	4	1	4	1
3	99	387	2	1	2	2
3	100	388	3	1	3	2
3	101	389	1	1	1	1
3	102	390	4	1	4	1
3	103	391	2	1	2	2
3	104	392	3	1	3	2
3	105	393	1	2	1	1
3	106	394	4	2	4	1
3	107	395	2	2	2	2
3	108	396	3	2	3	2
3	109	397	1	2	1	1
3	110	398	4	2	4	1
3	111	399	2	2	2	2
3	112	400	3	2	3	2
3	113	401	1	3	1	1
3	114	402	4	3	4	1
3	115	403	2	3	2	2
3	116	404	3	3	3	2
3	117	405	1	3	1	1
3	118	406	4	3	4	1
3	119	407	2	3	2	2
3	120	408	3	3	3	2
3	121	409	1	4	1	1
3	122	410	4	4	4	1
3	123	411	2	4	2	2
3	124	412	3	4	3	2
3	125	413	1	4	1	1
3	126	414	4	4	4	1
3	127	415	2	4	2	2
3	128	416	3	4	3	2
3	129	417	1	5	1	1
3	130	418	4	5	4	1
3	131	419	2	5	2	2
3	132	420	3	5	3	2
3	133	421	1	5	1	1
3	134	422	4	5	4	1
3	135	423	2	5	2	2
3	136	424	3	5	3	2
3	137	425	1	6	1	1
3	138	426	4	6	4	1
3	139	427	2	6	2	2
3	140	428	3	6	3	2
3	141	429	1	6	1	1
3	142	430	4	6	4	1
3	143	431	2	6	2	2
3	144	432	3	6	3	2
4	1	433	1	1	1	1
4	2	434	4	1	4	1
4	3	435	2	1	2	2
4	4	436	3	1	3	2
4	5	437	1	1	1	1
4	6	438	4	1	4	1
4	7	439	2	1	2	2
4	8	440	3	1	3	2
4	9	441	1	2	1	1
4	10	442	4	2	4	1
4	11	443	2	2	2	2
4	12	444	3	2	3	2
4	13	445	1	2	1	1
4	14	446	4	2	4	1
4	15	447	2	2	2	2
4	16	448	3	2	3	2
4	17	449	1	3	1	1
4	18	450	4	3	4	1
4	19	451	2	3	2	2
4	20	452	3	3	3	2
4	21	453	1	3	1	1
4	22	454	4	3	4	1
4	23	455	2	3	2	2
4	24	456	3	3	3	2
4	25	457	1	4	1	1
4	26	458	4	4	4	1
4	27	459	2	4	2	2
4	28	460	3	4	3	2
4	29	461	1	4	1	1
4	30	462	4	4	4	1
4	31	463	2	4	2	2
4	32	464	3	4	3	2
4	33	465	1	5	1	1
4	34	466	4	5	4	1
4	35	467	2	5	2	2
4	36	468	3	5	3	2
4	37	469	1	5	1	1
4	38	470	4	5	4	1
4	39	471	2	5	2	2
4	40	472	3	5	3	2
4	41	473	1	6	1	1
4	42	474	4	6	4	1
4	43	475	2	6	2	2
4	44	476	3	6	3	2
4	45	477	1	6	1	1
4	46	478	4	6	4	1
4	47	479	2	6	2	2
4	48	480	3	6	3	2
4	49	481	1	1	1	1
4	50	482	4	1	4	1
4	51	483	2	1	2	2
4	52	484	3	1	3	2
4	53	485	1	1	1	1
4	54	486	4	1	4	1
4	55	487	2	1	2	2
4	56	488	3	1	3	2
4	57	489	1	2	1	1
4	58	490	4	2	4	1
4	59	491	2	2	2	2
4	60	492	3	2	3	2
4	61	493	1	2	1	1
4	62	494	4	2	4	1
4	63	495	2	2	2	2
4	64	496	3	2	3	2
4	65	497	1	3	1	1
4	66	498	4	3	4	1
4	67	499	2	3	2	2
4	68	500	3	3	3	2
4	69	501	1	3	1	1
4	70	502	4	3	4	1
4	71	503	2	3	2	2
4	72	504	3	3	3	2
4	73	505	1	4	1	1
4	74	506	4	4	4	1
4	75	507	2	4	2	2
4	76	508	3	4	3	2
4	77	509	1	4	1	1
4	78	510	4	4	4	1
4	79	511	2	4	2	2
4	80	512	3	4	3	2
4	81	513	1	5	1	1
4	82	514	4	5	4	1
4	83	515	2	5	2	2
4	84	516	3	5	3	2
4	85	517	1	5	1	1
4	86	518	4	5	4	1
4	87	519	2	5	2	2
4	88	520	3	5	3	2
4	89	521	1	6	1	1
4	90	522	4	6	4	1
4	91	523	2	6	2	2
4	92	524	3	6	3	2
4	93	525	1	6	1	1
4	94	526	4	6	4	1
4	95	527	2	6	2	2
4	96	528	3	6	3	2
4	97	529	1	1	1	1
4	98	530	4	1	4	1
4	99	531	2	1	2	2
4	100	532	3	1	3	2
4	101	533	1	1	1	1
4	102	534	4	1	4	1
4	103	535	2	1	2	2
4	104	536	3	1	3	2
4	105	537	1	2	1	1
4	106	538	4	2	4	1
4	107	539	2	2	2	2
4	108	540	3	2	3	2
4	109	541	1	2	1	1
4	110	542	4	2	4	1
4	111	543	2	2	2	2
4	112	544	3	2	3	2
4	113	545	1	3	1	1
4	114	546	4	3	4	1
4	115	547	2	3	2	2
4	116	548	3	3	3	2
4	117	549	1	3	1	1
4	118	550	4	3	4	1
4	119	551	2	3	2	2
4	120	552	3	3	3	2
4	121	553	1	4	1	1
4	122	554	4	4	4	1
4	123	555	2	4	2	2
4	124	556	3	4	3	2
4	125	557	1	4	1	1
4	126	558	4	4	4	1
4	127	559	2	4	2	2
4	128	560	3	4	3	2
4	129	561	1	5	1	1
4	130	562	4	5	4	1
4	131	563	2	5	2	2
4	132	564	3	5	3	2
4	133	565	1	5	1	1
4	134	566	4	5	4	1
4	135	567	2	5	2	2
4	136	568	3	5	3	2
4	137	569	1	6	1	1
4	138	570	4	6	4	1
4	139	571	2	6	2	2
4	140	572	3	6	3	2
4	141	573	1	6	1	1
4	142	574	4	6	4	1
4	143	575	2	6	2	2
4	144	576	3	6	3	2
